58,54,36,46,48,6,3
41,43,13,10,47,28,3
29,35,15,20,37,21,4
43,46,15,54,42,26,4
52,8,39,43,50,24,4
15,39,6,49,41,11,3
30,15,57,23,41,34,4
18,57,53,36,4,15,3
17,4,1,12,55,38,3
11,3,49,8,58,2,3
11,3,46,37,27,15,3
39,2,9,25,49,43,4
39,41,45,25,14,42,3
52,17,34,21,51,2,3
60,18,46,38,21,34,3
40,25,5,44,39,42,3
21,4,14,54,26,13,7
1,49,31,5,17,4,3
10,53,26,32,4,33,3
30,1,44,28,32,23,4
59,30,46,56,3,47,5
50,38,56,45,33,25,3
47,7,30,17,42,46,3
9,19,16,60,3,40,3
27,22,57,9,45,6,3
7,11,21,38,16,18,4
22,60,46,59,19,9,3
23,9,30,51,15,3,3
51,18,4,31,42,20,3
53,43,34,54,50,2,3
26,42,16,34,45,47,3
40,59,38,43,3,58,3
13,32,20,9,59,16,4
51,20,6,38,39,7,3
51,2,21,32,27,4,3
21,27,5,19,7,58,3
19,52,11,23,22,12,4
33,40,30,11,36,44,3
1,16,5,23,26,36,3
2,37,8,59,23,14,3
51,21,47,13,14,43,3
23,45,37,5,32,35,4
13,33,32,3,35,27,3
51,33,47,25,28,45,4
4,52,50,51,56,37,3
14,32,29,40,43,35,5
13,47,39,37,25,35,3
46,43,14,52,12,17,3
36,41,53,2,19,13,4
33,40,50,53,45,22,3
38,50,31,59,56,1,3
3,25,16,38,33,53,4
19,56,39,10,14,34,5
40,14,8,26,19,17,4
46,9,32,30,35,6,3
17,43,13,55,9,36,3
52,17,57,22,30,49,3
14,30,15,18,34,51,3
60,59,38,45,13,40,3
52,34,8,50,32,58,3
29,32,7,33,3,14,3
33,60,14,51,32,24,3
6,4,38,47,44,14,4
32,3,38,54,30,7,3
28,21,14,59,12,25,3
24,52,44,16,10,39,3
19,34,47,58,56,54,3
22,40,55,46,27,35,3
9,28,16,13,60,47,3
46,50,11,16,49,8,4
7,10,13,3,57,49,3
60,47,24,11,13,19,3
42,3,47,1,24,58,3
19,11,35,52,34,15,3
33,58,52,27,11,57,4
31,42,55,5,33,49,3
58,52,55,38,43,48,4
19,2,6,23,4,35,3
20,28,14,52,56,10,3
5,45,25,31,13,29,3
11,55,3,46,16,10,3
16,7,9,46,60,44,4
50,28,40,60,19,46,3
41,39,56,38,21,22,3
14,28,54,26,10,25,3
43,54,41,20,55,22,3
58,12,3,1,34,55,4
38,3,24,32,51,1,3
48,28,1,41,20,46,3
16,10,54,34,47,60,3
32,17,21,26,14,49,3
54,11,45,9,23,33,3
35,33,22,41,42,14,5
34,54,12,23,21,9,4
28,60,57,11,54,7,4
1,29,50,18,26,13,3
7,21,51,23,15,37,3
11,7,58,33,10,25,3
52,6,28,31,15,18,3
55,42,9,41,21,30,3
